002137104 0248  L $$atrent-ferrierdavid$$dDUKEPLEAD
002137101 0248  L $$atrent-ferrusgma$$dDUKEPLEAD
002137102 0248  L $$atrent-finleyjamesb$$dDUKEPLEAD
004195229 0248  L $$atrent-finsennielsrletters$$dDUKEPLEAD
002137110 0248  L $$atrent-fisheralexander$$dDUKEPLEAD
002137106 0248  L $$atrent-fishhenrypapers$$dDUKEPLEAD
001636228 0248  L $$atrent-fiverokepeter$$dDUKEPLEAD
002137108 0248  L $$atrent-flintaustin$$dDUKEPLEAD
002156031 0248  L $$atrent-flourensppapers$$dDUKEPLEAD
002137113 0248  L $$atrent-footjessepapers$$dDUKEPLEAD
002137114 0248  L $$atrent-forwoodwstumppapers$$dDUKEPLEAD
002138357 0248  L $$atrent-fothergilljohnpapers$$dDUKEPLEAD
002138358 0248  L $$atrent-foucaultleon$$dDUKEPLEAD
002138359 0248  L $$atrent-fourierjeanbaptistejosephpapers$$dDUKEPLEAD
004191950 0248  L $$atrent-fowlerln$$dDUKEPLEAD
002138360 0248  L $$atrent-fraenkelludwig$$dDUKEPLEAD
002138361 0248  L $$atrent-francisjohnw$$dDUKEPLEAD
002138362 0248  L $$atrent-franklinbenjamin$$dDUKEPLEAD
002138363 0248  L $$atrent-freelandjamespapers$$dDUKEPLEAD
002169150 0248  L $$atrent-frerichsfriedrichtheodor$$dDUKEPLEAD
002138365 0248  L $$atrent-fryelizabethgurneypapers$$dDUKEPLEAD
001636229 0248  L $$atrent-gagehomer$$dDUKEPLEAD
002169649 0248  L $$atrent-gannettcaleb$$dDUKEPLEAD
002138369 0248  L $$atrent-gardinersilvesterpapers$$dDUKEPLEAD
002138370 0248  L $$atrent-garretsonjamesedmund$$dDUKEPLEAD
002138371 0248  L $$atrent-garrisonfieldinghletters$$dDUKEPLEAD
002138372 0248  L $$atrent-gerbierdocument$$dDUKEPLEAD
002138373 0248  L $$atrent-gibbesrobertwpapers$$dDUKEPLEAD
002138374 0248  L $$atrent-gibsonwilliampapers$$dDUKEPLEAD
002138375 0248  L $$atrent-gilbertdavid$$dDUKEPLEAD
002138376 0248  L $$atrent-gilbertludwigwilhelm$$dDUKEPLEAD
004185562 0248  L $$atrent-ginsberglouispapers$$dDUKEPLEAD
002138378 0248  L $$atrent-girardj$$dDUKEPLEAD
002138377 0248  L $$atrent-giraudycharlesfrancoiss$$dDUKEPLEAD
002138379 0248  L $$atrent-glentworththomasdocument$$dDUKEPLEAD
002138380 0248  L $$atrent-goiffonjeanbaptiste$$dDUKEPLEAD
002138382 0248  L $$atrent-goodhueespapers$$dDUKEPLEAD
002138381 0248  L $$atrent-goodjohnmasonpapers$$dDUKEPLEAD
001636231 0248  L $$atrent-goodsamuel$$dDUKEPLEAD
002147960 0248  L $$atrent-goodsonjohndocument$$dDUKEPLEAD
002138383 0248  L $$atrent-gosselinathanaseleon$$dDUKEPLEAD
002138384 0248  L $$atrent-goudareaujmc$$dDUKEPLEAD
002138385 0248  L $$atrent-gouldaugustusapapers$$dDUKEPLEAD
002138386 0248  L $$atrent-greelyaw$$dDUKEPLEAD
002138387 0248  L $$atrent-greensamuela$$dDUKEPLEAD
001646081 0248  L $$atrent-grenfellwilfredthomason$$dDUKEPLEAD
002138388 0248  L $$atrent-griggsleepapers$$dDUKEPLEAD
002138389 0248  L $$atrent-grisolleaugustin$$dDUKEPLEAD
002138390 0248  L $$atrent-guepinangemariefrancois$$dDUKEPLEAD
002138391 0248  L $$atrent-gullivergeorgepapers$$dDUKEPLEAD
001636232 0248  L $$atrent-gullwilliamwithey$$dDUKEPLEAD
001636233 0248  L $$atrent-gullyjamesmanbyletters$$dDUKEPLEAD
002138392 0248  L $$atrent-gunnjamesandrew$$dDUKEPLEAD
002138393 0248  L $$atrent-guthriegj$$dDUKEPLEAD
002138394 0248  L $$atrent-hackettceciljohnpapers$$dDUKEPLEAD
002138482 0248  L $$atrent-hackettcw$$dDUKEPLEAD
002138395 0248  L $$atrent-hahnemannsamuel$$dDUKEPLEAD
002143884 0248  L $$atrent-halericharddocument$$dDUKEPLEAD
002138396 0248  L $$atrent-halfordhenrypapers$$dDUKEPLEAD
002169151 0248  L $$atrent-halleralbrechtvonpapers$$dDUKEPLEAD
002138399 0248  L $$atrent-hallidayandrew$$dDUKEPLEAD
002138397 0248  L $$atrent-halljames$$dDUKEPLEAD
002138398 0248  L $$atrent-halllarrygdocument$$dDUKEPLEAD
002138400 0248  L $$atrent-hammondwilliamapapers$$dDUKEPLEAD
002138402 0248  L $$atrent-hareldutancrelaugustin$$dDUKEPLEAD
002138401 0248  L $$atrent-harerobertpapers$$dDUKEPLEAD
002138403 0248  L $$atrent-harleyjohnpapers$$dDUKEPLEAD
002133863 0248  L $$atrent-harrellgeorget$$dDUKEPLEAD
