original_term	cleaned_term	term_type	eadid_term_source
Quarantine	new_term	subject	trent-leehenry
History of Medicine Collections (Duke University)	new_term	corpname	trent-leehenry
History of Medicine Collections (Duke University)	new_term	corpname	trent-lefortleon
McKean, Thomas, 1734-1817	new_term	persname	trent-leibmichael
Muhlenberg, Henry, 1753-1815	new_term	persname	trent-leibmichael
History of Medicine Collections (Duke University)	new_term	corpname	trent-leibmichael
History of Medicine Collections (Duke University)	new_term	corpname	trent-lemaguet
History of Medicine Collections (Duke University)	new_term	corpname	trent-leroydetiollesjeanjacquesjoseph
History of Medicine Collections (Duke University)	new_term	corpname	trent-lethebyh
Vaccination	new_term	subject	trent-letter
Frank, Johann Peter, 1745-1821	new_term	persname	trent-letter
Jenner, Edward, 1749-1823	new_term	persname	trent-letter
Waterhouse, Benjamin, 1754-1846	new_term	persname	trent-letter
History of Medicine Collections (Duke University)	new_term	corpname	trent-letter
Societies, Medical -- Great Britain	new_term	subject	trent-lettsomjohncoakley
Pettigrew, Thomas Joseph, 1791-1865	new_term	persname	trent-lettsomjohncoakley
History of Medicine Collections (Duke University)	new_term	corpname	trent-lettsomjohncoakley
Woolson, Abba Goold, 1838-1921	new_term	persname	trent-lewisdio
History of Medicine Collections (Duke University)	new_term	corpname	trent-lewisdio
History of Medicine Collections (Duke University)	new_term	corpname	trent-lewiswilliam
Davy, Edmund, 1785-1857	new_term	persname	trent-liebigjustus
History of Medicine Collections (Duke University)	new_term	corpname	trent-liebigjustus
History of Medicine Collections (Duke University)	new_term	corpname	trent-lippec
History of Medicine Collections (Duke University)	new_term	corpname	trent-lisfranc
Yellow Fever	new_term	subject	trent-listerjoseph
History of Medicine Collections (Duke University)	new_term	corpname	trent-listerjoseph
Napoleonic Wars, 1800-1815	new_term	subject	trent-loderjustchristianvon
History of Medicine Collections (Duke University)	new_term	corpname	trent-loderjustchristianvon
History of Medicine Collections (Duke University)	new_term	corpname	trent-lodgeoliver
History of Medicine Collections (Duke University)	new_term	corpname	trent-loiseaucharles
Criminology	new_term	subject	trent-lombrosocesare
History of Medicine Collections (Duke University)	new_term	corpname	trent-lombrosocesare
History of Medicine Collections (Duke University)	new_term	corpname	trent-longcrawfordwilliamson
History of Medicine Collections (Duke University)	new_term	corpname	trent-louis
History of Medicine Collections (Duke University)	new_term	corpname	trent-louispca
History of Medicine Collections (Duke University)	new_term	corpname	trent-lovelljoseph
History of Medicine Collections (Duke University)	new_term	corpname	trent-lubbockjohn
Lyall, Robert, 1790-1831	new_term	persname	trent-lyallrobert
History of Medicine Collections (Duke University)	new_term	corpname	trent-lyallrobert
History of Medicine Collections (Duke University)	new_term	corpname	trent-lyellcharles
History of Medicine Collections (Duke University)	new_term	corpname	trent-mackenziejames
Mackenzie, Morell, 1837-1892	new_term	persname	trent-mackenziemorell
History of Medicine Collections (Duke University)	new_term	corpname	trent-mackenziemorell
History of Medicine Collections (Duke University)	new_term	corpname	trent-mackiejohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-macnevenwilliamjames
History of Medicine Collections (Duke University)	new_term	corpname	trent-macniderwilliamdeberniere
History of Medicine Collections (Duke University)	new_term	corpname	trent-magendiefrancois
History of Medicine Collections (Duke University)	new_term	corpname	trent-magnanvalentin
History of Medicine Collections (Duke University)	new_term	corpname	trent-mainejacob
History of Medicine Collections (Duke University)	new_term	corpname	trent-malgaignejf
History of Medicine Collections (Duke University)	new_term	corpname	trent-mareyetiennejules
History of Medicine Collections (Duke University)	new_term	corpname	trent-marjolinjeannicolas
History of Medicine Collections (Duke University)	new_term	corpname	trent-massachusettsgeneralhospitalboardoftrustees
History of Medicine Collections (Duke University)	new_term	corpname	trent-matherelisha
History of Medicine Collections (Duke University)	new_term	corpname	trent-matonwilliamgeorge
Cesarean Section	new_term	subject	trent-mattheyandre
History of Medicine Collections (Duke University)	new_term	corpname	trent-mattheyandre
History of Medicine Collections (Duke University)	new_term	corpname	trent-maubanhenri
Bett, W. R. (William Reginald), 1903-	new_term	persname	trent-maughamwsomerset
Bland-Sutton, John, Sir, 1855-1936	new_term	persname	trent-maughamwsomerset
History of Medicine Collections (Duke University)	new_term	corpname	trent-maughamwsomerset
History of Medicine Collections (Duke University)	new_term	corpname	trent-mayarthur
History of Medicine Collections (Duke University)	new_term	corpname	trent-mayoherbert
History of Medicine Collections (Duke University)	new_term	corpname	trent-mcclellangeorge
Shippen, William, 1736?-1808	new_term	persname	trent-mchenryjames
History of Medicine Collections (Duke University)	new_term	corpname	trent-mchenryjames
McKinley, William, 1843-1901	new_term	persname	trent-mckinleyidasaxton
Mitchell, S. Weir (Silas Weir), 1829-1914	new_term	persname	trent-mckinleyidasaxton
History of Medicine Collections (Duke University)	new_term	corpname	trent-mckinleyidasaxton
History of Medicine Collections (Duke University)	new_term	corpname	trent-mcnaughtonjames
History of Medicine Collections (Duke University)	new_term	corpname	trent-meadrichard
Rush, Benjamin, 1746-1813	new_term	persname	trent-measejames
History of Medicine Collections (Duke University)	new_term	corpname	trent-measejames
Thomson, Charles, 1729-1824	new_term	persname	trent-measejames
Williamson, William D. (William Durkee), 1779-1846	new_term	persname	trent-measejames
History of Medicine Collections (Duke University)	new_term	corpname	trent-measejames
History of Medicine Collections (Duke University)	new_term	corpname	trent-meigsjamesaitken
History of Medicine Collections (Duke University)	new_term	corpname	trent-meniereprosper
Physick, Philip Syng, 1768-1837	new_term	persname	trent-meredithsamuel
Rush, Benjamin, 1746-1813	new_term	persname	trent-meredithsamuel
History of Medicine Collections (Duke University)	new_term	corpname	trent-meredithsamuel
History of Medicine Collections (Duke University)	new_term	corpname	trent-meyranxpierrestanislas
History of Medicine Collections (Duke University)	new_term	corpname	trent-middletonpeter
Vaccination	new_term	subject	trent-millersamuel
History of Medicine Collections (Duke University)	new_term	corpname	trent-millersamuel
History of Medicine Collections (Duke University)	new_term	corpname	trent-millinal
Blagden, Charles, Sir, 1748-1820	new_term	persname	trent-milmanfrancis
Mead, Richard, 1673-1754	new_term	persname	trent-milmanfrancis
Nicholls, Frank, 1699-1778	new_term	persname	trent-milmanfrancis
History of Medicine Collections (Duke University)	new_term	corpname	trent-milmanfrancis
History of Medicine Collections (Duke University)	new_term	corpname	trent-milneedwardsh
Mitchell, John Kearsley, 1793-1858	new_term	persname	trent-mitchelljohnkearsley
History of Medicine Collections (Duke University)	new_term	corpname	trent-mitchelljohnkearsley
Neurology -- History	new_term	subject	trent-mitchellsweir
Physicians -- Correspondence	new_term	subject	trent-mitchellsweir
Mitchell, S. Weir (Silas Weir), 1829-1914	new_term	persname	trent-mitchellsweir
History of Medicine Collections (Duke University)	new_term	corpname	trent-mitchellsweir
History	new_term	genreform	trent-mitchellsweir
Records and correspondence	new_term	genreform	trent-mitchellsweir
History of Medicine Collections (Duke University)	new_term	corpname	trent-mitchillsamuell
History of Medicine Collections (Duke University)	new_term	corpname	trent-moffattthomas
Moore, John, 1729-1802	new_term	persname	trent-moorejohn
Moore, John, 1729-1802	new_term	persname	trent-moorejohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-moorejohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-morgagnigiambattista
History of Medicine Collections (Duke University)	new_term	corpname	trent-morgandaniel
Hume, Joseph, 1777-1855	new_term	persname	trent-morganjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-morganjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-morseedwardsylvester
Morton, Samuel George, 1799-1851	new_term	persname	trent-mortonsamuelgeorge
Morton, Samuel George, 1799-1851	new_term	persname	trent-mortonsamuelgeorge
History of Medicine Collections (Duke University)	new_term	corpname	trent-mortonsamuelgeorge
History of Medicine Collections (Duke University)	new_term	corpname	trent-mortonwtg
History of Medicine Collections (Duke University)	new_term	corpname	trent-moseleywh
Revere, John, 1787-1847	new_term	persname	trent-mottvalentine
History of Medicine Collections (Duke University)	new_term	corpname	trent-mottvalentine
Muirhead, Arnold.	new_term	persname	trent-muirheadarnold
Osler, Grace Revere Gross,Lady.	new_term	persname	trent-muirheadarnold
Power, D'Arcy, Sir, 1855-1941	new_term	persname	trent-muirheadarnold
History of Medicine Collections (Duke University)	new_term	corpname	trent-muirheadarnold
History of Medicine Collections (Duke University)	new_term	corpname	trent-murchisonroderickimpey
History of Medicine Collections (Duke University)	new_term	corpname	trent-musgravewilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-myersthomas
History of Medicine Collections (Duke University)	new_term	corpname	trent-nansenfridtjof
Napheys, George H. (George Henry), 1842-1876	new_term	persname	trent-napheysgeorgeh
History of Medicine Collections (Duke University)	new_term	corpname	trent-napheysgeorgeh
Fetus	new_term	subject	trent-needhamwalter
Embryology	new_term	subject	trent-needhamwalter
History of Medicine Collections (Duke University)	new_term	corpname	trent-needhamwalter
History of Medicine Collections (Duke University)	new_term	corpname	trent-nelatonauguste
History of Medicine Collections (Duke University)	new_term	corpname	trent-newportbotanicthomsonianinfirmary
History of Medicine Collections (Duke University)	new_term	corpname	trent-newtoncharles
History of Medicine Collections (Duke University)	new_term	corpname	trent-nightingaleflorence
North, Elisha, 1771-1843	new_term	persname	trent-northelisha
History of Medicine Collections (Duke University)	new_term	corpname	trent-northelisha
History of Medicine Collections (Duke University)	new_term	corpname	trent-nortonrupert
History of Medicine Collections (Duke University)	new_term	corpname	trent-nortonwilliama
History of Medicine Collections (Duke University)	new_term	corpname	trent-nothnagelhermann
History of Medicine Collections (Duke University)	new_term	corpname	trent-nottjosiahclark
History of Medicine Collections (Duke University)	new_term	corpname	trent-nussbaumjn
History of Medicine Collections (Duke University)	new_term	corpname	trent-okieahoward
Balneology	new_term	subject	trent-oliverwilliam
Mineral Waters	new_term	subject	trent-oliverwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-oliverwilliam
Hysteria	new_term	subject	trent-olivierm
Epilepsy	new_term	subject	trent-olivierm
Lallemand, Andre.	new_term	persname	trent-olivierm
History of Medicine Collections (Duke University)	new_term	corpname	trent-olivierm
History of Medicine Collections (Duke University)	new_term	corpname	trent-olmsteddenison
History of Medicine Collections (Duke University)	new_term	corpname	trent-ordronauxjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-orfilamatthieujosephbonaventure
History of Medicine Collections (Duke University)	new_term	corpname	trent-osleredwardrevere
History of Medicine Collections (Duke University)	new_term	corpname	trent-oslerwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-owendaviddale
History of Medicine Collections (Duke University)	new_term	corpname	trent-owenrichard
History of Medicine Collections (Duke University)	new_term	corpname	trent-oxleyww
Prescriptions, Drug	new_term	subject	trent-oyntmentoftobacca
History of Medicine Collections (Duke University)	new_term	corpname	trent-oyntmentoftobacca
Breckinridge, John C. (John Cabell), 1821-1875	new_term	persname	trent-pagerichardchanningmoore
History of Medicine Collections (Duke University)	new_term	corpname	trent-pagerichardchanningmoore
History of Medicine Collections (Duke University)	new_term	corpname	trent-pagetjames
History of Medicine Collections (Duke University)	new_term	corpname	trent-pagetstephen
History of Medicine Collections (Duke University)	new_term	corpname	trent-panasph
History of Medicine Collections (Duke University)	new_term	corpname	trent-pancoastjoseph
History of Medicine Collections (Duke University)	new_term	corpname	trent-parisetetienne
History of Medicine Collections (Duke University)	new_term	corpname	trent-parkerwillard
History of Medicine Collections (Duke University)	new_term	corpname	trent-parrishjoseph
History of Medicine Collections (Duke University)	new_term	corpname	trent-parrishjoseph
History of Medicine Collections (Duke University)	new_term	corpname	trent-parsonsusher
History of Medicine Collections (Duke University)	new_term	corpname	trent-partridgerichard
History of Medicine Collections (Duke University)	new_term	corpname	trent-pascalisouvierefelix
History of Medicine Collections (Duke University)	new_term	corpname	trent-pasquier
Anthrax	new_term	subject	trent-pasteurlouis
History of Medicine Collections (Duke University)	new_term	corpname	trent-pasteurlouis
History of Medicine Collections (Duke University)	new_term	corpname	trent-pattisongranvillesharp
Parsons, Usher, 1788-1868	new_term	persname	trent-paynealbansmith
History of Medicine Collections (Duke University)	new_term	corpname	trent-paynealbansmith
Evans, Estwick, 1787-1866	new_term	persname	trent-peabodynathaniel
History of Medicine Collections (Duke University)	new_term	corpname	trent-peabodynathaniel
History of Medicine Collections (Duke University)	new_term	corpname	trent-peanjulesemile
History of Medicine Collections (Duke University)	new_term	corpname	trent-pelletanphilippejean
History of Medicine Collections (Duke University)	new_term	corpname	trent-pennsylvaniahospitalphiladelphiapa
History of Medicine Collections (Duke University)	new_term	corpname	trent-pepperwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-pepyslucas
Vaccination	new_term	subject	trent-peschierjohn
Marcet, Alexander, 1770-1822	new_term	persname	trent-peschierjohn
Pearson, George, 1751-1828	new_term	persname	trent-peschierjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-peschierjohn
Ehrenberg, Christian Gottfried, 1795-1876	new_term	persname	trent-peterswilhelmch
History of Medicine Collections (Duke University)	new_term	corpname	trent-peterswilhelmch
American Civil War	new_term	subject	trent-petitionbythecitizensofcripplecreekvirginia
History of Medicine Collections (Duke University)	new_term	corpname	trent-petitionbythecitizensofcripplecreekvirginia
History of Medicine Collections (Duke University)	new_term	corpname	trent-petitradel
History of Medicine Collections (Duke University)	new_term	corpname	trent-pettenkofermaxvon
Blessington, Marguerite, Countess of, 1789-1849	new_term	persname	trent-pettigrewthomasjoseph
History of Medicine Collections (Duke University)	new_term	corpname	trent-pettigrewthomasjoseph
History of Medicine Collections (Duke University)	new_term	corpname	trent-pfeifferrichardfriedrichwilhelm
History of Medicine Collections (Duke University)	new_term	corpname	trent-philadelphiageneralhospital
History of Medicine Collections (Duke University)	new_term	corpname	trent-phippsjonathanwathen
History of Medicine Collections (Duke University)	new_term	corpname	trent-physickphilipsyng
History of Medicine Collections (Duke University)	new_term	corpname	trent-picassopablo
Military Medicine -- 20th cent	new_term	subject	trent-pierreolivier
History of Medicine Collections (Duke University)	new_term	corpname	trent-pierreolivier
Chodowiecki, Daniel, 1726-1801	new_term	persname	trent-pilletclaudemarie
History of Medicine Collections (Duke University)	new_term	corpname	trent-pilletclaudemarie
History of Medicine Collections (Duke University)	new_term	corpname	trent-pinelphilippe
History of Medicine Collections (Duke University)	new_term	corpname	trent-playfairlyonplayfair
Physicians -- Correspondence	new_term	subject	trent-pleadwellfl
History of Medicine Collections (Duke University)	new_term	corpname	trent-pleadwellfl
Records and correspondence	new_term	genreform	trent-pleadwellfl
History of Medicine Collections (Duke University)	new_term	corpname	trent-plumerwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-poiseuillejeanleonardmarie
History of Medicine Collections (Duke University)	new_term	corpname	trent-polkwilliammecklenburg
History of Medicine Collections (Duke University)	new_term	corpname	trent-pommepierre
History of Medicine Collections (Duke University)	new_term	corpname	trent-portalantoine
Dunlap, William, 1766-1839	new_term	persname	trent-postwright
History of Medicine Collections (Duke University)	new_term	corpname	trent-postwright
History of Medicine Collections (Duke University)	new_term	corpname	trent-potainpierrecarledouard
History of Medicine Collections (Duke University)	new_term	corpname	trent-potternathaniel
History of Medicine Collections (Duke University)	new_term	corpname	trent-pottsjonathan
History of Medicine Collections (Duke University)	new_term	corpname	trent-poussel
History of Medicine Collections (Duke University)	new_term	corpname	trent-pouteauclaude
History of Medicine Collections (Duke University)	new_term	corpname	trent-pouzin
History of Medicine Collections (Duke University)	new_term	corpname	trent-povallrichard
Cushing, Harvey, 1869-1939	new_term	persname	trent-powerdarcy
Cushing, Harvey, 1869-1939	new_term	persname	trent-powerdarcy
Home, Everard, Sir, 1756-1832	new_term	persname	trent-powerdarcy
Jastrow, Morris, 1861-1921	new_term	persname	trent-powerdarcy
History of Medicine Collections (Duke University)	new_term	corpname	trent-powerdarcy
History of Medicine Collections (Duke University)	new_term	corpname	trent-pozzisamueljean
History of Medicine Collections (Duke University)	new_term	corpname	trent-prescottmaryjackson
Floyd, John, 1783-1837	new_term	persname	trent-prestonjamespatton
History of Medicine Collections (Duke University)	new_term	corpname	trent-prestonjamespatton
History of Medicine Collections (Duke University)	new_term	corpname	trent-priestleywo
Prince, L. Bradford (Le Baron Bradford), 1840-1922	new_term	persname	trent-princerv
History of Medicine Collections (Duke University)	new_term	corpname	trent-princerv
History of Medicine Collections (Duke University)	new_term	corpname	trent-pringlejohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-prioleauthomasgrimball
Dalton, John, 1766-1844	new_term	persname	trent-proutwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-proutwilliam
Yellow Fever	new_term	subject	trent-puentefrancisco
History of Medicine Collections (Duke University)	new_term	corpname	trent-puentefrancisco
Military Medicine -- 19th cent	new_term	subject	trent-pugnetjf
Pugnet, Jean Francois Xavier, 1765-1846	new_term	persname	trent-pugnetjf
History of Medicine Collections (Duke University)	new_term	corpname	trent-pugnetjf
Obstetrics	new_term	subject	trent-puzosnicolas
Labor, Obstetric	new_term	subject	trent-puzosnicolas
Pregnancy	new_term	subject	trent-puzosnicolas
History of Medicine Collections (Duke University)	new_term	corpname	trent-puzosnicolas
History of Medicine Collections (Duke University)	new_term	corpname	trent-quackenboshenryf
History of Medicine Collections (Duke University)	new_term	corpname	trent-quainrichard
History of Medicine Collections (Duke University)	new_term	corpname	trent-radinhermant
History of Medicine Collections (Duke University)	new_term	corpname	trent-rafncarlchristian
Education, Medical	new_term	subject	trent-raineyww
Students, Medical	new_term	subject	trent-raineyww
History of Medicine Collections (Duke University)	new_term	corpname	trent-raineyww
History of Medicine Collections (Duke University)	new_term	corpname	trent-rammstedtwilhelmconrad
History of Medicine Collections (Duke University)	new_term	corpname	trent-ramsaydavid
Obstetrics	new_term	subject	trent-ramsbothamjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-ramsbothamjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-ranvierl
Fumigation	new_term	subject	trent-rapoutoussaint
History of Medicine Collections (Duke University)	new_term	corpname	trent-rapoutoussaint
Johnston, Harriet Lane, 1830-1903	new_term	persname	trent-rathbunrichard
History of Medicine Collections (Duke University)	new_term	corpname	trent-rathbunrichard
National Gallery of Art (U.S.)	new_term	corpname	trent-rathbunrichard
Smithsonian Institution.	new_term	corpname	trent-rathbunrichard
Botany	new_term	subject	trent-ravenelhw
Plants, Medicinal	new_term	subject	trent-ravenelhw
Porcher, Francis Peyre, 1825-1895	new_term	persname	trent-ravenelhw
History of Medicine Collections (Duke University)	new_term	corpname	trent-ravenelhw
History of Medicine Collections (Duke University)	new_term	corpname	trent-rayisaac
World War, 1914-1918	new_term	subject	trent-reedcharlesbailey
Soldiers -- Correspondence	new_term	subject	trent-reedcharlesbailey
Reed, Charles Bailey.	new_term	persname	trent-reedcharlesbailey
History of Medicine Collections (Duke University)	new_term	corpname	trent-reedcharlesbailey
France -- World War, 1914-1918 -- History	new_term	geogname	trent-reedcharlesbailey
History of Medicine Collections (Duke University)	new_term	corpname	trent-reesedavidmeredith
History of Medicine Collections (Duke University)	new_term	corpname	trent-renwickjames
History of Medicine Collections (Duke University)	new_term	corpname	trent-retziusa
History of Medicine Collections (Duke University)	new_term	corpname	trent-reynoldsedward
History of Medicine Collections (Duke University)	new_term	corpname	trent-richardad
History of Medicine Collections (Duke University)	new_term	corpname	trent-richardsonbenjaminward
History of Medicine Collections (Duke University)	new_term	corpname	trent-richeranda
Capital Punishment	new_term	subject	trent-richetcharles
Capus, Alfred, 1858-1922	new_term	persname	trent-richetcharles
Coquelin, Constant, 1841-1909	new_term	persname	trent-richetcharles
Dolet, Etienne, 1509-1546	new_term	persname	trent-richetcharles
History of Medicine Collections (Duke University)	new_term	corpname	trent-richetcharles
Comedie-Francais.	new_term	corpname	trent-richetcharles
History of Medicine Collections (Duke University)	new_term	corpname	trent-richetcharles
History of Medicine Collections (Duke University)	new_term	corpname	trent-ricordph
History of Medicine Collections (Duke University)	new_term	corpname	trent-riddelljohnleonard
Ankylosing spondylitis -- History	new_term	subject	trent-ridlonjohn
Medicine, Military -- United States -- History -- 20th century	new_term	subject	trent-ridlonjohn
Military bases -- New York (State) -- Pictorial works	new_term	subject	trent-ridlonjohn
Orthopedics -- United States -- History	new_term	subject	trent-ridlonjohn
Orthopedic surgery -- United States -- History	new_term	subject	trent-ridlonjohn
Orthopedists -- Correspondence	new_term	subject	trent-ridlonjohn
Pediatric orthopedics -- History	new_term	subject	trent-ridlonjohn
Pediatrics	new_term	subject	trent-ridlonjohn
Scoliosis -- History	new_term	subject	trent-ridlonjohn
Scoliosis in children -- History	new_term	subject	trent-ridlonjohn
Tuberculosis -- History	new_term	subject	trent-ridlonjohn
Tuberculosis in children -- History	new_term	subject	trent-ridlonjohn
World War, 1914-1918 -- Medical care -- United States -- Pictorial works	new_term	subject	trent-ridlonjohn
Cushing, Harvey, 1869-1939	new_term	persname	trent-ridlonjohn
Ghormley, Ralph K. (Ralph Kalb), 1893-1959	new_term	persname	trent-ridlonjohn
Goldthwait, Joel E. (Joel Ernest), 1866-	new_term	persname	trent-ridlonjohn
Judson, Adoniram Brown, 1837-1916	new_term	persname	trent-ridlonjohn
Lorenz, Adolf, 1854-1946	new_term	persname	trent-ridlonjohn
Lovett, Robert W. (Robert Williamson), 1859-1924	new_term	persname	trent-ridlonjohn
Mitchell, S. Weir (Silas Weir), 1829-1914	new_term	persname	trent-ridlonjohn
Orr, H. Winnett (Hiram Winnett), 1877-1956	new_term	persname	trent-ridlonjohn
Osgood, Robert Bayley, 1873-1956	new_term	persname	trent-ridlonjohn
Ridlon, John, 1852-1936	new_term	persname	trent-ridlonjohn
Steindler, Arthur, 1878-	new_term	persname	trent-ridlonjohn
Wilson, Philip (Philip Duncan), b. 1886	new_term	persname	trent-ridlonjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-ridlonjohn
United States. Army Medical Reserve Corps	new_term	corpname	trent-ridlonjohn
Chicago (Ill.)	new_term	geogname	trent-ridlonjohn
Plattsburgh (N.Y.)	new_term	geogname	trent-ridlonjohn
Black-and-white photographs	new_term	genreform	trent-ridlonjohn
Scrapbooks	new_term	genreform	trent-ridlonjohn
Vaccination	new_term	subject	trent-ringjohn
Pennington, Isaac,Sir.	new_term	persname	trent-ringjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-ringjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-robert
Fractures -- therapy	new_term	subject	trent-robertsj
Military Medicine	new_term	subject	trent-robertsj
History of Medicine Collections (Duke University)	new_term	corpname	trent-robertsj
History of Medicine	new_term	subject	trent-robinsonvictor
History of Medicine -- Periodicals	new_term	subject	trent-robinsonvictor
Castiglioni, Arturo, 1874-1953	new_term	persname	trent-robinsonvictor
Juettner, Otto, 1865-1922	new_term	persname	trent-robinsonvictor
Knopf, Alfred A., 1892-1984	new_term	persname	trent-robinsonvictor
Krumbhaar, E. B. (Edward Bell), 1882-1966	new_term	persname	trent-robinsonvictor
Robinson, William J. q (William Josephus), 1867-1936	new_term	persname	trent-robinsonvictor
Ruffer, Marc Armand, Sir, 1859-1917	new_term	persname	trent-robinsonvictor
Sigerist, Henry E., 1891-1957	new_term	persname	trent-robinsonvictor
Torre-Bueno, J. R. de la (Jose Rollin), 1871-	new_term	persname	trent-robinsonvictor
History of Medicine Collections (Duke University)	new_term	corpname	trent-robinsonvictor
Scurvy	new_term	subject	trent-rodgersjohn
Barton, William P. C. (William Paul Crillon), 1786-1856	new_term	persname	trent-rodgersjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-rodgersjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-rodneythomas
Earle, Pliny, 1809-1892	new_term	persname	trent-roeserbernard
History of Medicine Collections (Duke University)	new_term	corpname	trent-roeserbernard
History of Medicine Collections (Duke University)	new_term	corpname	trent-rogerhenrilouis
History of Medicine Collections (Duke University)	new_term	corpname	trent-rogersjsmyth
History of Medicine Collections (Duke University)	new_term	corpname	trent-rogerstheophilus
History of Medicine Collections (Duke University)	new_term	corpname	trent-rollestonhumphrydavy
History of Medicine Collections (Duke University)	new_term	corpname	trent-roosadbstjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-rootjosephpomeroy
Malaria	new_term	subject	trent-rossronald
History of Medicine Collections (Duke University)	new_term	corpname	trent-rossronald
History of Medicine Collections (Duke University)	new_term	corpname	trent-roux
History of Medicine Collections (Duke University)	new_term	corpname	trent-rouxfernand
History of Medicine Collections (Duke University)	new_term	corpname	trent-roylejt
Armstrong, John, 1758-1843	new_term	persname	trent-rushbenjamin
Bayard, John Bubenheim, 1738-1807	new_term	persname	trent-rushbenjamin
History of Medicine Collections (Duke University)	new_term	corpname	trent-rushbenjamin
Dickinson College.	new_term	corpname	trent-rushbenjamin
History of Medicine Collections (Duke University)	new_term	corpname	trent-rushbenjamin
University of Pennsylvania.	new_term	corpname	trent-rushbenjamin
Pennsylvania	new_term	geogname	trent-rushbenjamin
History of Medicine Collections (Duke University)	new_term	corpname	trent-russellcharles
History of Medicine Collections (Duke University)	new_term	corpname	trent-rustonthomas
History of Medicine Collections (Duke University)	new_term	corpname	trent-sabatierraphaelbienvenu
History of Medicine Collections (Duke University)	new_term	corpname	trent-salmonfrederick
History of Medicine Collections (Duke University)	new_term	corpname	trent-sanarelligiuseppe
History of Medicine Collections (Duke University)	new_term	corpname	trent-sandwithhumphry
Kearny, Philip, 1815-1862	new_term	persname	trent-satterleers
History of Medicine Collections (Duke University)	new_term	corpname	trent-satterleers
History of Medicine Collections (Duke University)	new_term	corpname	trent-saunderswilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-sayerjohnlathrop
History of Medicine Collections (Duke University)	new_term	corpname	trent-sayrelewisa
Military Medicine -- United States -- History	new_term	subject	trent-schenckpeterv
History of Medicine Collections (Duke University)	new_term	corpname	trent-schenckpeterv
United States -- History -- Civil War, 1861-1865	new_term	geogname	trent-schenckpeterv
History of Medicine Collections (Duke University)	new_term	corpname	trent-schleichcarlludwig
History of Medicine Collections (Duke University)	new_term	corpname	trent-schombergisaac
History of Medicine Collections (Duke University)	new_term	corpname	trent-schombergisaac
Royal College of Physicians of London.	new_term	corpname	trent-schombergisaac
History of Medicine Collections (Duke University)	new_term	corpname	trent-schonleinjohannlukas
History of Medicine Collections (Duke University)	new_term	corpname	trent-schulzefranzeilhard
Stringer, Samuel, 1734-1817	new_term	persname	trent-schuylerphilipjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-schuylerphilipjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-searsjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-seegermain
Pinel, Philippe, 1745-1826	new_term	persname	trent-semelaignerene
History of Medicine Collections (Duke University)	new_term	corpname	trent-semelaignerene
History of Medicine Collections (Duke University)	new_term	corpname	trent-senterisaac
History of Medicine Collections (Duke University)	new_term	corpname	trent-sewallthomas
Warren, John Collins, 1778-1856	new_term	persname	trent-shattuckfrederickcheever
History of Medicine Collections (Duke University)	new_term	corpname	trent-shattuckfrederickcheever
History of Medicine Collections (Duke University)	new_term	corpname	trent-shecutjohnlew
History of Medicine Collections (Duke University)	new_term	corpname	trent-shelmerdinea
History of Medicine Collections (Duke University)	new_term	corpname	trent-shippenwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-shortcharleswilkins
History of Medicine Collections (Duke University)	new_term	corpname	trent-shortsorw
History of Medicine Collections (Duke University)	new_term	corpname	trent-sichelj
History of Medicine Collections (Duke University)	new_term	corpname	trent-sieboldeduardcasparjacobvon
History of Medicine Collections (Duke University)	new_term	corpname	trent-sillimanbenjamin
History of Medicine Collections (Duke University)	new_term	corpname	trent-sillwilliamm
Byron, George Gordon Byron, Baron, 1788-1824	new_term	persname	trent-simondevillevieillejacquelinen
Simon de Villevieille, Jacqueline N.	new_term	persname	trent-simondevillevieillejacquelinen
