original_term	cleaned_term	term_type	eadid_term_source
Prince, William Robert, 1795-1869	new_term	persname	trent-blackwellelizabeth
History of Medicine Collections (Duke University)	new_term	corpname	trent-blackwellelizabeth
Blainville, Henri Marie Ducrotay de, 1777-1850	new_term	persname	trent-blainvillehenrimarieducrotayde
History of Medicine Collections (Duke University)	new_term	corpname	trent-blainvillehenrimarieducrotayde
Mental Disorders	new_term	subject	trent-blancheantoineemile
Blanche, Antoine Emile, 1828-	new_term	persname	trent-blancheantoineemile
History of Medicine Collections (Duke University)	new_term	corpname	trent-blancheantoineemile
Blanche, Esprit Sylvestre, 1796-1840	new_term	persname	trent-blancheespritsylvestre
History of Medicine Collections (Duke University)	new_term	corpname	trent-blancheespritsylvestre
Bland-Sutton, John, Sir, 1855-1936	new_term	persname	trent-blandsuttonjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-blandsuttonjohn
Blizard, William, Sir, 1743-1835	new_term	persname	trent-blizardwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-blizardwilliam
Blue, Rupert Lee, 1868-1948	new_term	persname	trent-bluerupertlee
History of Medicine Collections (Duke University)	new_term	corpname	trent-bluerupertlee
Blumenthal, Cellier de.	new_term	persname	trent-blumenthalcellierde
History of Medicine Collections (Duke University)	new_term	corpname	trent-blumenthalcellierde
Blundell, Dr., 1790-1878	new_term	persname	trent-blundell
History of Medicine Collections (Duke University)	new_term	corpname	trent-blundell
Bond, Thomas, 1712-1784	new_term	persname	trent-bondthomas
History of Medicine Collections (Duke University)	new_term	corpname	trent-bondthomas
Medicine -- Europe -- History -- 19th century	new_term	subject	trent-bostockjohn
Medicine -- Great Britain -- History -- 19th century	new_term	subject	trent-bostockjohn
Physicians -- Correspondence	new_term	subject	trent-bostockjohn
Bostock, John, 1773-1846	new_term	persname	trent-bostockjohn
Marcet, Alexander, 1770-1822	new_term	persname	trent-bostockjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-bostockjohn
History	new_term	genreform	trent-bostockjohn
Records and correspondence	new_term	genreform	trent-bostockjohn
Bouillaud, J. (Jean), 1796-1881	new_term	persname	trent-bouillaudj
History of Medicine Collections (Duke University)	new_term	corpname	trent-bouillaudj
Bowditch, Henry I. (Henry Ingersoll), 1808-1892	new_term	persname	trent-bowditchhenryi
History of Medicine Collections (Duke University)	new_term	corpname	trent-bowditchhenryi
Bowen, Ephraim, 1710-1808	new_term	persname	trent-bowenephraim
History of Medicine Collections (Duke University)	new_term	corpname	trent-bowenephraim
Bradfield, H. J. S. (Henry Joseph Steele), 1805-1852	new_term	persname	trent-bradfieldhjs
History of Medicine Collections (Duke University)	new_term	corpname	trent-bradfieldhjs
Bradford, William, 1729-1808	new_term	persname	trent-bradfordwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-bradfordwilliam
Braun, Alexander, 1805-1877	new_term	persname	trent-braunalexander
History of Medicine Collections (Duke University)	new_term	corpname	trent-braunalexander
Brayton, Charles E.	new_term	persname	trent-braytoncharlese
History of Medicine Collections (Duke University)	new_term	corpname	trent-braytoncharlese
Breschet, G. (Gilbert), 1784-1845	new_term	persname	trent-breschetg
Cuvier, Georges, baron, 1769-1832	new_term	persname	trent-breschetg
History of Medicine Collections (Duke University)	new_term	corpname	trent-breschetg
Brewster, David, 1781-1868	new_term	persname	trent-brewsterdavid
History of Medicine Collections (Duke University)	new_term	corpname	trent-brewsterdavid
Brigham, Amariah, 1798-1849	new_term	persname	trent-brighamamariah
History of Medicine Collections (Duke University)	new_term	corpname	trent-brighamamariah
Bright, Richard, 1789-1858	new_term	persname	trent-brightrichard
History of Medicine Collections (Duke University)	new_term	corpname	trent-brightrichard
Broadbent, W. H. (William Henry), Sir, 1835-1907	new_term	persname	trent-broadbentwh
History of Medicine Collections (Duke University)	new_term	corpname	trent-broadbentwh
Broca, Paul, 1824-1880	new_term	persname	trent-brocapaul
History of Medicine Collections (Duke University)	new_term	corpname	trent-brocapaul
Brodie, Benjamin, Sir, 1783-1862	new_term	persname	trent-brodiebenjamin
Philip, Alexander Philips Wilson, 1770-1847	new_term	persname	trent-brodiebenjamin
Wollaston, William Hyde, 1766-1828	new_term	persname	trent-brodiebenjamin
History of Medicine Collections (Duke University)	new_term	corpname	trent-brodiebenjamin
Brooks, John, 1752-1825	new_term	persname	trent-brooksjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-brooksjohn
Brouardel, P. (Paul), 1837-1906	new_term	persname	trent-brouardelp
History of Medicine Collections (Duke University)	new_term	corpname	trent-brouardelp
Broussais, Casimir Anne Marie, 1803-1847	new_term	persname	trent-broussaiscasimirannemarie
History of Medicine Collections (Duke University)	new_term	corpname	trent-broussaiscasimirannemarie
Broussais, F. J. V. (Francois Joseph Victor), 1772-1838	new_term	persname	trent-broussaisfjv
History of Medicine Collections (Duke University)	new_term	corpname	trent-broussaisfjv
Brown, Buckminster, 1819-1891	new_term	persname	trent-brownbuckminster
History of Medicine Collections (Duke University)	new_term	corpname	trent-brownbuckminster
Brown, George, 1755-1822	new_term	persname	trent-browngeorge
History of Medicine Collections (Duke University)	new_term	corpname	trent-browngeorge
Brown, Gustavus, 1744-	new_term	persname	trent-browngustavus
History of Medicine Collections (Duke University)	new_term	corpname	trent-browngustavus
Brown, Horace Manchester, 1857-1929	new_term	persname	trent-brownhoracemanchester
History of Medicine Collections (Duke University)	new_term	corpname	trent-brownhoracemanchester
Brown, John, 1810-1882	new_term	persname	trent-brownjohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-brownjohn
Brown, Robert, 1773-1858	new_term	persname	trent-brownrobert
Abel, Clarke, 1780-1826	new_term	persname	trent-brownrobert
History of Medicine Collections (Duke University)	new_term	corpname	trent-brownrobert
Brown-Sequard, Charles-Edouard, 1817-1894	new_term	persname	trent-brownsequardcharlesedouard
History of Medicine Collections (Duke University)	new_term	corpname	trent-brownsequardcharlesedouard
Buchanan, George, Sir, 1831-1895	new_term	persname	trent-buchanangeorge
History of Medicine Collections (Duke University)	new_term	corpname	trent-buchanangeorge
Buchan, William, 1729-1805	new_term	persname	trent-buchanwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-buchanwilliam
Buchez, Philippe-Joseph-Benjamin, 1796-1865	new_term	persname	trent-buchezphilippejosephbenjamin
History of Medicine Collections (Duke University)	new_term	corpname	trent-buchezphilippejosephbenjamin
Bull, William T. (William Tillinghast), 1849-1909	new_term	persname	trent-bullwilliamt
History of Medicine Collections (Duke University)	new_term	corpname	trent-bullwilliamt
Bumgarner, John R.(John Reed)	new_term	persname	trent-bumgarnerjohnr
Davison, Wilburt Cornell, 1892-1972	new_term	persname	trent-bumgarnerjohnr
History of Medicine Collections (Duke University)	new_term	corpname	trent-bumgarnerjohnr
Burnett, George, 1776?-1811	new_term	persname	trent-burnettgeorge
History of Medicine Collections (Duke University)	new_term	corpname	trent-burnettgeorge
Burnham, Walter, 1808-1883	new_term	persname	trent-burnhamwalter
History of Medicine Collections (Duke University)	new_term	corpname	trent-burnhamwalter
Burr, Aaron, 1756-1836	new_term	persname	trent-burraaron
Rush, Benjamin, 1746-1813	new_term	persname	trent-burraaron
History of Medicine Collections (Duke University)	new_term	corpname	trent-burraaron
Electroencephalography	new_term	subject	trent-busseewaldw
Kornmuller, Alois Eduard, 1905 -	new_term	persname	trent-busseewaldw
History of Medicine Collections (Duke University)	new_term	corpname	trent-busseewaldw
Cabanis, P. J. G. (Pierre Jean Georges), 1757-1808	new_term	persname	trent-cabanispjg
Maine de Biran, Pierre, 1766-1824	new_term	persname	trent-cabanispjg
History of Medicine Collections (Duke University)	new_term	corpname	trent-cabanispjg
Cabell, J. L. (James Lawrence), 1813-1889	new_term	persname	trent-cabelljl
History of Medicine Collections (Duke University)	new_term	corpname	trent-cabelljl
Cadell, Thomas, 1773-1836	new_term	persname	trent-cadellthomas
History of Medicine Collections (Duke University)	new_term	corpname	trent-cadellthomas
Phrenology	new_term	subject	trent-caldwellcharles
Caldwell, Charles, 1772-1853	new_term	persname	trent-caldwellcharles
Caldwell, Charles, 1772-1853	new_term	persname	trent-caldwellcharles
History of Medicine Collections (Duke University)	new_term	corpname	trent-caldwellcharles
Campbell, Alexander, 1779-1857	new_term	persname	trent-campbellalexander
History of Medicine Collections (Duke University)	new_term	corpname	trent-campbellalexander
Fossils	new_term	subject	trent-camperpetrus
Camper, Petrus, 1722-1789	new_term	persname	trent-camperpetrus
Buffon, Georges Louis Leclerc, comte de, 1707-1788	new_term	persname	trent-camperpetrus
Goethe, Johann Wolfgang von, 1749-1832	new_term	persname	trent-camperpetrus
Merck, Johann Heinrich, 1741-1791	new_term	persname	trent-camperpetrus
Soemmerring, Samuel Thomas von, 1755-1830	new_term	persname	trent-camperpetrus
History of Medicine Collections (Duke University)	new_term	corpname	trent-camperpetrus
Cappel, Wilhelm Friedrich, 1734-1800	new_term	persname	trent-cappelwilhelmfriedrich
History of Medicine Collections (Duke University)	new_term	corpname	trent-cappelwilhelmfriedrich
Carlyle, John Aitken, 1801-1879	new_term	persname	trent-carlylejohnaitken
History of Medicine Collections (Duke University)	new_term	corpname	trent-carlylejohnaitken
Carnochan, J. M. (John Murray), 1817-1887	new_term	persname	trent-carnochanjm
History of Medicine Collections (Duke University)	new_term	corpname	trent-carnochanjm
Carro, Joannes de, 1770-1857	new_term	persname	trent-carrojoannesde
History of Medicine Collections (Duke University)	new_term	corpname	trent-carrojoannesde
Carus, Carl Gustav, 1789-1869	new_term	persname	trent-caruscarlgustav
History of Medicine Collections (Duke University)	new_term	corpname	trent-caruscarlgustav
Castellani, Aldo, 1875-1971	new_term	persname	trent-castellanialdo
Smith, David T. (David Tillerson), 1898-	new_term	persname	trent-castellanialdo
History of Medicine Collections (Duke University)	new_term	corpname	trent-castellanialdo
Castiglioni, Arturo, 1874-1953	new_term	persname	trent-castiglioniarturo
