Aleph_Number	RL_Number	EADID	URL	
002119514	RL.10275	trent-bjornssongumund	http://library.duke.edu/rubenstein/findingaids/trent-bjornssongumund/
002119515	RL.10276	trent-blackwellelizabethpapers	http://library.duke.edu/rubenstein/findingaids/trent-blackwellelizabethpapers/
002119516	RL.10277	trent-blainvillehenrimarieducrotayde	http://library.duke.edu/rubenstein/findingaids/trent-blainvillehenrimarieducrotayde/
002119517	RL.10278	trent-blancheantoineemile	http://library.duke.edu/rubenstein/findingaids/trent-blancheantoineemile/
002119518	RL.10279	trent-blancheespritsylvestre	http://library.duke.edu/rubenstein/findingaids/trent-blancheespritsylvestre/
002119519	RL.10280	trent-blandsuttonjohnpapers	http://library.duke.edu/rubenstein/findingaids/trent-blandsuttonjohnpapers/
002119520	RL.10281	trent-blizardwilliam	http://library.duke.edu/rubenstein/findingaids/trent-blizardwilliam/
002119521	RL.10282	trent-bluerupertlee	http://library.duke.edu/rubenstein/findingaids/trent-bluerupertlee/
002138368	RL.10283	trent-blumenthalcellierdepapers	http://library.duke.edu/rubenstein/findingaids/trent-blumenthalcellierdepapers/
002119522	RL.10284	trent-blundelldocument	http://library.duke.edu/rubenstein/findingaids/trent-blundelldocument/
002119523	RL.10285	trent-bondthomas	http://library.duke.edu/rubenstein/findingaids/trent-bondthomas/
002119524	RL.10288	trent-bouillaudj	http://library.duke.edu/rubenstein/findingaids/trent-bouillaudj/
002119526	RL.10289	trent-bowditchhenryi	http://library.duke.edu/rubenstein/findingaids/trent-bowditchhenryi/
002130235	RL.10290	trent-bowenephraim	http://library.duke.edu/rubenstein/findingaids/trent-bowenephraim/
002119527	RL.10291	trent-bradfieldhjsletters	http://library.duke.edu/rubenstein/findingaids/trent-bradfieldhjsletters/
002119528	RL.10292	trent-bradfordwilliamdocument	http://library.duke.edu/rubenstein/findingaids/trent-bradfordwilliamdocument/
002119529	RL.10293	trent-braunalexander	http://library.duke.edu/rubenstein/findingaids/trent-braunalexander/
001671335	RL.10294	trent-braytoncharlesepapers	http://library.duke.edu/rubenstein/findingaids/trent-braytoncharlesepapers/
002130260	RL.10295	trent-breschetgpapers	http://library.duke.edu/rubenstein/findingaids/trent-breschetgpapers/
002119530	RL.10296	trent-brewsterdavidpapers	http://library.duke.edu/rubenstein/findingaids/trent-brewsterdavidpapers/
002119531	RL.10297	trent-brighamamariah	http://library.duke.edu/rubenstein/findingaids/trent-brighamamariah/
002119532	RL.10298	trent-brightrichardpapers	http://library.duke.edu/rubenstein/findingaids/trent-brightrichardpapers/
002119534	RL.10299	trent-broadbentwh	http://library.duke.edu/rubenstein/findingaids/trent-broadbentwh/
002119535	RL.10300	trent-brocapaulpapers	http://library.duke.edu/rubenstein/findingaids/trent-brocapaulpapers/
002119536	RL.10301	trent-brodiebenjaminpapers	http://library.duke.edu/rubenstein/findingaids/trent-brodiebenjaminpapers/
002119537	RL.10302	trent-brooksjohndocument	http://library.duke.edu/rubenstein/findingaids/trent-brooksjohndocument/
002119538	RL.10303	trent-brouardelp	http://library.duke.edu/rubenstein/findingaids/trent-brouardelp/
002129193	RL.10304	trent-broussaiscasimirannemarie	http://library.duke.edu/rubenstein/findingaids/trent-broussaiscasimirannemarie/
002130236	RL.10305	trent-broussaisfjvpapers	http://library.duke.edu/rubenstein/findingaids/trent-broussaisfjvpapers/
002119539	RL.10307	trent-brownbuckminster	http://library.duke.edu/rubenstein/findingaids/trent-brownbuckminster/
002119540	RL.10308	trent-browngeorgedocument	http://library.duke.edu/rubenstein/findingaids/trent-browngeorgedocument/
002119541	RL.10309	trent-browngustavus	http://library.duke.edu/rubenstein/findingaids/trent-browngustavus/
001605135	RL.10310	trent-brownhoracemanchester	http://library.duke.edu/rubenstein/findingaids/trent-brownhoracemanchester/
002119542	RL.10311	trent-brownjohnpapers	http://library.duke.edu/rubenstein/findingaids/trent-brownjohnpapers/
002130237	RL.10312	trent-brownrobert	http://library.duke.edu/rubenstein/findingaids/trent-brownrobert/
002156029	RL.10306	trent-brownsequardcharlesedouardpapers	http://library.duke.edu/rubenstein/findingaids/trent-brownsequardcharlesedouardpapers/
002132130	RL.10313	trent-buchanangeorge	http://library.duke.edu/rubenstein/findingaids/trent-buchanangeorge/
002156026	RL.10314	trent-buchanwilliampapers	http://library.duke.edu/rubenstein/findingaids/trent-buchanwilliampapers/
002119543	RL.10315	trent-buchezphilippejosephbenjamin	http://library.duke.edu/rubenstein/findingaids/trent-buchezphilippejosephbenjamin/
002119544	RL.10316	trent-bullwilliamt	http://library.duke.edu/rubenstein/findingaids/trent-bullwilliamt/
002039166	RL.10317	trent-bumgarnerjohnr	http://library.duke.edu/rubenstein/findingaids/trent-bumgarnerjohnr/
002119548	RL.10318	trent-burnettgeorge	http://library.duke.edu/rubenstein/findingaids/trent-burnettgeorge/
002119545	RL.10319	trent-burnhamwalter	http://library.duke.edu/rubenstein/findingaids/trent-burnhamwalter/
002119546	RL.10320	trent-burraaron	http://library.duke.edu/rubenstein/findingaids/trent-burraaron/
002119525	RL.10321	trent-busseewaldw	http://library.duke.edu/rubenstein/findingaids/trent-busseewaldw/
